source_site,location_code,location_name,location_type,faculty_or_area,building,notes
orar.usv.ro,A032,A032,room,,A,"ID: 592, Capacitate: 0"
orar.usv.ro,E239,E239,room,,,"ID: 593, Capacitate: 0"
orar.usv.ro,PB3,P.Bucovina 3,room,,PB,"ID: 594, Capacitate: 0"
orar.usv.ro,PB6,P.Bucovina 6,room,,PB,"ID: 595, Capacitate: 0"
orar.usv.ro,PB7,P.Bucovina 7,room,,PB,"ID: 596, Capacitate: 0"
orar.usv.ro,"Foaier, F","Foaier, Auditorium, corp F ",room,,F,"ID: 598, Capacitate: 0"
orar.usv.ro,PB2,PB2,room,,PB,"ID: 600, Capacitate: 0"
orar.usv.ro,C406,C406,room,,C,"ID: 604, Capacitate: 0"
orar.usv.ro,PB5,PB5,room,,PB,"ID: 607, Capacitate: 0"
orar.usv.ro,PB201,P. Bucovina 201,room,,PB,"ID: 608, Capacitate: 0"
orar.usv.ro,PB202,P.Bucovina 202,room,,PB,"ID: 609, Capacitate: 0"
orar.usv.ro,N108,N108,room,,N,"ID: 612, Capacitate: 0"
orar.usv.ro,A 012,A 012,room,,A,"ID: 613, Capacitate: 0"
orar.usv.ro,PB002,PB002,room,,PB,"ID: 618, Capacitate: 0"
orar.usv.ro,037a,037a,room,,A,"ID: 620, Capacitate: 0"
orar.usv.ro,Bicom 2,Bicom 2,room,,Bicom,"ID: 622, Capacitate: 0"
orar.usv.ro,_online,_on-line,room,,,"ID: 624, Capacitate: 999"
orar.usv.ro,C407,C407,room,,C,"ID: 628, Capacitate: 20"
orar.usv.ro,B110a Lab SAHP,B110a Laborator Sist de act,laboratory,,B,"ID: 633, Capacitate: 0"
orar.usv.ro,PB301,P. Bucovina 301,room,,PB,"ID: 634, Capacitate: 0"
orar.usv.ro,037b,037b,room,,A,"ID: 635, Capacitate: 0"
orar.usv.ro,ED005,ED005,room,,E,"ID: 641, Capacitate: 0"
orar.usv.ro,ED007,ED007,room,,,"ID: 645, Capacitate: 0"
orar.usv.ro,ED026,ED026,room,,,"ID: 646, Capacitate: 0"
orar.usv.ro,PB302,P.Bucovina 302,room,,PB,"ID: 655, Capacitate: 0"
orar.usv.ro,A035,A035,room,,A,"ID: 656, Capacitate: 0"
