location_key,display_name,location_type,building,is_online,is_external,source_reference,notes
b014_lab_cfac,B014 Laborator Concep Fabr,laboratory,B,false,false,orar.usv.ro,"ID: 125, Capacitate: 0"
b203_lab_sim,B203 Laborator Stiinta IngMat ,laboratory,B,false,false,orar.usv.ro,"ID: 128, Capacitate: 0"
s._sport,Sala sport,room,Sala,false,false,orar.usv.ro,"ID: 129, Capacitate: 0"
c003,C003,room,C,false,false,orar.usv.ro,"ID: 130, Capacitate: 21"
obs.1,Obs. 1 - Sală mare,room,Obs.,false,false,orar.usv.ro,"ID: 132, Capacitate: 0"
b007_lab_mu,B007 Laborator Masini Unelte,laboratory,B,false,false,orar.usv.ro,"ID: 133, Capacitate: 0"
e_amf_e129,Amf E129,room,E,false,false,orar.usv.ro,"ID: 135, Capacitate: 0"
e230,E230 - sala curs - 90 locuri,room,E,false,false,orar.usv.ro,"ID: 136, Capacitate: 0"
a114,A114 (A53),room,A,false,false,orar.usv.ro,"ID: 137, Capacitate: 0"
a121,A121 - laborator,laboratory,A,false,false,orar.usv.ro,"ID: 140, Capacitate: 0"
e206,E206,room,E,false,false,orar.usv.ro,"ID: 141, Capacitate: 0"
sala_club,Sala Club,room,Camin,false,false,orar.usv.ro,"ID: 144, Capacitate: 0"
sala_areni,Sala Stadion Areni,room,A,false,false,orar.usv.ro,"ID: 147, Capacitate: 0"
e216,E216,room,E,false,false,orar.usv.ro,"ID: 150, Capacitate: 0"
t.s.,Teren  sintetic,sports,,false,false,orar.usv.ro,"ID: 151, Capacitate: 0"
e003,E003,room,E,false,false,orar.usv.ro,"ID: 153, Capacitate: 0"
a120,Lectoratul Francez,room,A,false,false,orar.usv.ro,"ID: 154, Capacitate: 20"
e219,E219,room,E,false,false,orar.usv.ro,"ID: 155, Capacitate: 0"
e005,E005,room,E,false,false,orar.usv.ro,"ID: 156, Capacitate: 31"
b201_lab_gac+ig,B201 Laborator Infografica,laboratory,B,false,false,orar.usv.ro,"ID: 158, Capacitate: 0"
a20,A20,room,A,false,false,orar.usv.ro,"ID: 159, Capacitate: 0"
k102,K102 Laborator fizioterapie,laboratory,K,false,false,orar.usv.ro,"ID: 160, Capacitate: 0"
d_amf._dl,amf. Dimitrie Leonida,room,D,false,false,orar.usv.ro,"ID: 162, Capacitate: 43"
a108,Laborator Limbi Moderne,laboratory,A,false,false,orar.usv.ro,"ID: 163, Capacitate: 20"
a111,Sala Eugeniu Coşeriu,room,A,false,false,orar.usv.ro,"ID: 164, Capacitate: 60"
a024,A024,room,A,false,false,orar.usv.ro,"ID: 165, Capacitate: 0"
a115,Amfiteatrul Eugen Lovinescu,auditorium,A,false,false,orar.usv.ro,"ID: 167, Capacitate: 110"
a119,Laborator Multimedia ProLang,laboratory,A,false,false,orar.usv.ro,"ID: 168, Capacitate: 20"
a122,Lectoratul Italian,room,A,false,false,orar.usv.ro,"ID: 169, Capacitate: 20"
a203,Lectoratul Spaniol,room,A,false,false,orar.usv.ro,"ID: 170, Capacitate: 0"
a206,Sala Studii Anglo-Americane,room,A,false,false,orar.usv.ro,"ID: 172, Capacitate: 40"
a302,Centrul de Reusita Universitar,room,A,false,false,orar.usv.ro,"ID: 173, Capacitate: 0"
lb2,Laborator Media,laboratory,,false,false,orar.usv.ro,"ID: 174, Capacitate: 20"
lb1,Sală An pregătitor,room,,false,false,orar.usv.ro,"ID: 176, Capacitate: 20"
a204,Lectoratul German,room,A,false,false,orar.usv.ro,"ID: 178, Capacitate: 0"
e120,E120,room,E,false,false,orar.usv.ro,"ID: 182, Capacitate: 0"
